name,lat,lng,type,total_spaces,occupied_spaces,hourly_rates,restrictions,is_favorite,id,created_date,updated_date,created_by_id,created_by,is_sample
"Administration Drive Garage","39.251979686909266","-76.71280361918268","parking","180","125","","","","68d83995db26e2f1b1c9f010","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
"Lot 1","39.25352925347376","-76.70846518839853","parking","120","45","","","","68d83995db26e2f1b1c9f011","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
"Lot 2","39.2543213868805","-76.70901705515254","parking","85","72","","","","68d83995db26e2f1b1c9f012","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
"Lot 3","39.254011645487424","-76.70750818101496","parking","95","31","","","","68d83995db26e2f1b1c9f013","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
"Lot 4","39.254901658222835","-76.70833350478823","parking","110","89","","","","68d83995db26e2f1b1c9f014","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
"Lot 5","39.257739489291154","-76.70822635771071","parking","140","56","","","","68d83995db26e2f1b1c9f015","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
"Lot 6","39.25851661615683","-76.71110431601572","parking","75","18","","","","68d83995db26e2f1b1c9f016","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
"Lot 7","39.25710728365381","-76.71060056420541","parking","90","63","","","","68d83995db26e2f1b1c9f017","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
"Lot 8","39.25650391340074","-76.7151463334613","parking","160","144","","","","68d83995db26e2f1b1c9f018","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
"Lot 9","39.25444509911425","-76.71510818785265","parking","105","97","","","","68d83995db26e2f1b1c9f019","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
"Lot 10","39.25772481823332","-76.71373484013738","parking","130","52","","","","68d83995db26e2f1b1c9f01a","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
"Lot 11","39.25620804282212","-76.70822335088252","parking","80","24","","","","68d83995db26e2f1b1c9f01b","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
"Lot 12","39.25643913423039","-76.70674699226272","parking","65","47","","","","68d83995db26e2f1b1c9f01c","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
"Lot 20","39.26083662981982","-76.71436503748676","parking","200","156","","","","68d83995db26e2f1b1c9f01d","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
"Lot 21","39.25933968417966","-76.71509280254924","parking","170","98","","","","68d83995db26e2f1b1c9f01e","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
"Lot 22","39.25749914423096","-76.71796334044875","parking","115","87","","","","68d83995db26e2f1b1c9f01f","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
"Lot 23","39.2548316970342","-76.70525801991954","parking","70","21","","","","68d83995db26e2f1b1c9f020","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
"Lot 24","39.25430886704978","-76.70423005836932","parking","60","38","","","","68d83995db26e2f1b1c9f021","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
